Year,Month,Day,Station
2023,01,01,FOP1
2023,01,01,KABR
2023,01,01,KABX
2023,01,01,KAKQ
2023,01,01,KAMA
2023,01,01,KAMX
2023,01,01,KAPX
2023,01,01,KARX
2023,01,01,KATX
2023,01,01,KBBX
2023,01,01,KBGM
2023,01,01,KBHX
2023,01,01,KBIS
2023,01,01,KBLX
2023,01,01,KBMX
2023,01,01,KBOX
2023,01,01,KBRO
2023,01,01,KBUF
2023,01,01,KBYX
2023,01,01,KCAE
2023,01,01,KCBW
2023,01,01,KCBX
2023,01,01,KCCX
2023,01,01,KCLE
2023,01,01,KCLX
2023,01,01,KCRP
2023,01,01,KCXX
2023,01,01,KCYS
2023,01,01,KDAX
2023,01,01,KDDC
2023,01,01,KDFX
2023,01,01,KDGX
2023,01,01,KDIX
2023,01,01,KDLH
2023,01,01,KDMX
2023,01,01,KDOX
2023,01,01,KDTX
2023,01,01,KDVN
2023,01,01,KDYX
2023,01,01,KEAX
2023,01,01,KEMX
2023,01,01,KENX
2023,01,01,KEOX
2023,01,01,KEPZ
2023,01,01,KESX
2023,01,01,KEVX
2023,01,01,KEWX
2023,01,01,KEYX
2023,01,01,KFCX
2023,01,01,KFDR
2023,01,01,KFDX
2023,01,01,KFFC
2023,01,01,KFSD
2023,01,01,KFSX
2023,01,01,KFTG
2023,01,01,KFWS
2023,01,01,KGGW
2023,01,01,KGJX
2023,01,01,KGLD
2023,01,01,KGRB
2023,01,01,KGRK
2023,01,01,KGRR
2023,01,01,KGWX
2023,01,01,KGYX
2023,01,01,KHDX
2023,01,01,KHGX
2023,01,01,KHNX
2023,01,01,KHTX
2023,01,01,KICT
2023,01,01,KICX
2023,01,01,KILN
2023,01,01,KILX
2023,01,01,KIND
2023,01,01,KINX
2023,01,01,KIWA
2023,01,01,KIWX
2023,01,01,KJAX
2023,01,01,KJGX
2023,01,01,KJKL
2023,01,01,KLBB
2023,01,01,KLCH
2023,01,01,KLGX
2023,01,01,KLIX
2023,01,01,KLNX
2023,01,01,KLOT
2023,01,01,KLRX
2023,01,01,KLSX
2023,01,01,KLTX
2023,01,01,KLVX
2023,01,01,KLWX
2023,01,01,KLZK
2023,01,01,KMAF
2023,01,01,KMAX
2023,01,01,KMBX
2023,01,01,KMHX
2023,01,01,KMKX
2023,01,01,KMLB
2023,01,01,KMOB
2023,01,01,KMPX
2023,01,01,KMQT
2023,01,01,KMRX
2023,01,01,KMSX
2023,01,01,KMTX
2023,01,01,KMUX
2023,01,01,KMVX
2023,01,01,KMXX
2023,01,01,KNKX
2023,01,01,KNQA
2023,01,01,KOAX
2023,01,01,KOHX
2023,01,01,KOKX
2023,01,01,KOTX
2023,01,01,KPAH
2023,01,01,KPBZ
2023,01,01,KPDT
2023,01,01,KPOE
2023,01,01,KPUX
2023,01,01,KRAX
2023,01,01,KRGX
2023,01,01,KRIW
2023,01,01,KRLX
2023,01,01,KRTX
2023,01,01,KSFX
2023,01,01,KSGF
2023,01,01,KSHV
2023,01,01,KSJT
2023,01,01,KSOX
2023,01,01,KSRX
2023,01,01,KTBW
2023,01,01,KTFX
2023,01,01,KTLH
2023,01,01,KTLX
2023,01,01,KTWX
2023,01,01,KTYX
2023,01,01,KUDX
2023,01,01,KUEX
2023,01,01,KVAX
2023,01,01,KVBX
2023,01,01,KVNX
2023,01,01,KVTX
2023,01,01,KVWX
2023,01,01,KYUX
2023,01,01,PACG
2023,01,01,PAEC
2023,01,01,PAHG
2023,01,01,PAKC
2023,01,01,PAPD
2023,01,01,PGUA
2023,01,01,PHKI
2023,01,01,PHKM
2023,01,01,PHMO
2023,01,01,PHWA
2023,01,01,RKJK
2023,01,01,RODN
2023,01,01,TADW
2023,01,01,TATL
2023,01,01,TBNA
2023,01,01,TBOS
2023,01,01,TBWI
2023,01,01,TCLT
2023,01,01,TCMH
2023,01,01,TCVG
2023,01,01,TDAL
2023,01,01,TDAY
2023,01,01,TDCA
